".","Separator","Beendet wird ein Aussagesatz ((Deklarativsatz)) mit einem Punkt. Verwende einen Punkt nicht zusammmen mit einem der anderen Separatoren. "
"!","Separator","Aufforderungssätze (Imperativ) und Ausrufesätze (Interjektionen, Exclamatory) enden mit einem Ausrufungszeichen. Verwende ein Ausrufungszeichen nicht zusammmen mit einem der anderen Separatoren. "
"?","Separator","Beendet wird eine Frage (Interrogativ) mit einem Fragezeichen. Verwende ein Fragezeichen nicht zusammmen mit einem der anderen Separatoren. "
":","Separator","Ein Doppelpunkt trennt ein Hinweis-Satz von einem Satz. Jeweils vor und nach dem Doppelpunkt muss ein vollständiger Satz sein. Verwende einen Doppelpunkt nicht zusammmen mit einem der anderen Separatoren. "
",","Separator","Ein Komma wird nach ' o' verwendet, wenn man Leute anspricht. Optional kann es vor einer Präposition eingefügt werden. Verwende ein Komma nicht zusammmen mit einem der anderen Separatoren ausser ' li'. "
"''","Separator","Anführungszeichen werden für Zitate oder Originalschreibweise verwendet. "
"'","inoffiziell","Ein Apostroph kann ein Prädikat, das kein Verb enthält, kennzeichnen. "
"#","inoffiziell","Zur Kennzeichnung von Zahlen "
"a","Interjektion","ah, ha, uh, oh, ooh, aw, well (emotionales Wort) "
"a a a!","Interjektion","Lachen "
"akesi","Adjektiv","Amphibien-, Reptilien-, schleimig "
"akesi","Substantiv","Reptil, Lurch, Amphibie, Saurier, Schlange, Drache, Frosch, Schildkröte "
"ala","Adjektiv","nein, nichts, un- "
"ala","Adjektiv, Ziffer","Null, 0 "
"ala","Adverb","nicht, un- "
"ala!","Interjektion","Nein! "
"ala","Substantiv","Nichts, Negation, Null "
"alasa","Adjektiv","jagend "
"alasa","Substantiv","Jagd "
"alasa (e )","Verb, transitiv","jagen, verfolgen und töten, nach Futter suchen "
"ale","Adjektiv","alle(r/s), je, jeweils, komplett, ganz, (ale = ali), (veraltet) "
"ale","Adjektiv, Ziffer","100 (offizielles Toki Pona Buch) "
"ale","Adverb","alle(r/s), je, jeweils, komplett, ganz, (ale = ali), (veraltet) "
"ale","Substantiv","Alles, Etwas, Leben, Universium, Welt (veraltet) "
"ali","Adjektiv","alle(r/s), je, jeweils, komplett, ganz "
"ali","Adverb","alle(r/s), je, jeweils, komplett, ganz "
"ali","Substantiv","Alles, Etwas, Leben, Universium, Welt "
"anpa","Adjektiv","unten, tief, niedrig "
"anpa","Adverb","tief, niedrig "
"anpa","Substantiv","Boden, Erdboden, Grund, Talsohle "
"anpa","Verb, intransitiv","sich unterwerfen "
"anpa (e )","Verb, transitiv","niederlassen, absenken, abseilen, herunterholen, besiegen, bezwingen "
"ante","Adjektiv","unterschiedlich, verschieden (von) "
"ante","Substantiv","Unterschied, Abweichung, Differenz "
"ante la ","Substantiv","Wenn Unterschied, bei Abweichung, bei Differenz "
"ante (e )","Verb, transitiv","wechseln; umschalten, ändern, abändern, verändern, modifizieren "
"anu ","Konjunktion","oder "
"awen","Adjektiv","bleibend; verbleibend, feststehend, ortsfest, parkend, permanent, sesshaft "
"awen","Adverb","verbleibend, noch, gerade beim ... "
"awen","Substantiv","Trägheit, Kontinuität, Kontinuum, Aufenthalt "
"awen","Verb, intransitiv","bleiben, verbleiben, sich aufhalten, warten "
"awen (e )","Verb, transitiv","behalten; nicht weggeben "
"e ","Separator","Ein ' e' leitet das direkte Objekt ein. Verwende ein ' e' nicht zusammmen mit einem der anderen Separatoren. "
"en ","Konjunktion","und (um Haupt-Substantive zu verbinden) "
"esun","Adjektiv","kommerziell, gewerblich, kaufmännisch, verkäuflich "
"esun","Substantiv","Markt, Shop "
